RecipeId,id,score,[features]
302283,3534b7de-0cbc-422a-b122-efa5db391013,4,"queryMatchName=1.0742872,queryMatchDescription=1.4903456,queryMatchCategory=0.0,queryMatchIngredients=0.977998,queryMatchKeywords=0.0,queryMatchInstructions=1.5711031,queryMatchReviews=1.6489968,queryMatchAuthorName=0.0,recency=0.068206444,rating=1.0,reviewCount=6.529546E-4,keywordCount=0.0625,ingredientCount=0.3409091,instructionCount=0.04672897,imageCount=0.0021141649,originalScore=5.3714356"
366997,2576fe24-89f5-41fa-a809-6dc2c9b9678b,5,"queryMatchName=0.97587454,queryMatchDescription=1.4903456,queryMatchCategory=0.0,queryMatchIngredients=0.6553912,queryMatchKeywords=0.0,queryMatchInstructions=1.0997989,queryMatchReviews=1.1123703,queryMatchAuthorName=0.0,recency=0.07294735,rating=1.0,reviewCount=0.0019588638,keywordCount=0.03125,ingredientCount=0.3409091,instructionCount=0.056074765,imageCount=0.01268499,originalScore=4.8793726"
446032,9ed716c3-9e62-49ef-8e0c-5211ab7eb86f,4,"queryMatchName=1.1947747,queryMatchDescription=0.0,queryMatchCategory=0.0,queryMatchIngredients=0.8071034,queryMatchKeywords=0.0,queryMatchInstructions=1.4491667,queryMatchReviews=0.0,queryMatchAuthorName=0.0,recency=0.083375536,rating=1.0,reviewCount=6.529546E-4,keywordCount=0.09375,ingredientCount=0.20454547,instructionCount=0.084112145,imageCount=0.0021141649,originalScore=5.973874"
385552,48a79cee-20a0-4e28-92d5-2aa319eb01ce,1,"queryMatchName=0.0,queryMatchDescription=1.7741601,queryMatchCategory=0.0,queryMatchIngredients=0.0,queryMatchKeywords=0.0,queryMatchInstructions=0.0,queryMatchReviews=1.4987407,queryMatchAuthorName=0.0,recency=0.07471821,rating=1.0,reviewCount=0.0032647732,keywordCount=0.125,ingredientCount=0.25,instructionCount=0.009345794,imageCount=0.006342495,originalScore=1.7741601"
166276,c388252c-6102-4a26-b61b-0ad62d11adda,0,"queryMatchName=0.0,queryMatchDescription=0.0,queryMatchCategory=0.0,queryMatchIngredients=0.0,queryMatchKeywords=0.0,queryMatchInstructions=0.0,queryMatchReviews=1.252774,queryMatchAuthorName=0.0,recency=0.059955567,rating=1.0,reviewCount=3.264773E-4,keywordCount=0.21875,ingredientCount=0.3409091,instructionCount=0.028037382,imageCount=0.0,originalScore=0.626387"
228680,c798312a-54c3-4d29-828e-5e33cb79d6de,2,"queryMatchName=0.0,queryMatchDescription=0.0,queryMatchCategory=0.0,queryMatchIngredients=0.78686476,queryMatchKeywords=0.0,queryMatchInstructions=0.0,queryMatchReviews=1.0730281,queryMatchAuthorName=0.0,recency=0.06397705,rating=0.9,reviewCount=9.794319E-4,keywordCount=0.125,ingredientCount=0.27272728,instructionCount=0.04672897,imageCount=0.0021141649,originalScore=1.5737295"
291422,f65d9235-3d7c-43aa-8694-2ac8f734aba2,2,"queryMatchName=0.0,queryMatchDescription=0.0,queryMatchCategory=0.0,queryMatchIngredients=0.8508729,queryMatchKeywords=0.0,queryMatchInstructions=0.0,queryMatchReviews=1.4179318,queryMatchAuthorName=0.0,recency=0.06751495,rating=0.9,reviewCount=0.0016323866,keywordCount=0.125,ingredientCount=0.18181819,instructionCount=0.056074765,imageCount=0.0021141649,originalScore=1.7017457"
80983,3e75aa17-ad7c-4d64-95e5-6834499ecbf5,0,"queryMatchName=0.0,queryMatchDescription=0.0,queryMatchCategory=0.0,queryMatchIngredients=0.0,queryMatchKeywords=0.0,queryMatchInstructions=0.0,queryMatchReviews=1.0802357,queryMatchAuthorName=0.0,recency=0.052738447,rating=1.0,reviewCount=0.0035912504,keywordCount=0.28125,ingredientCount=0.27272728,instructionCount=0.009345794,imageCount=0.0021141649,originalScore=0.54011786"
90514,0b9cf7f6-d4f3-4522-b216-214accf2f265,0,"queryMatchName=0.0,queryMatchDescription=0.0,queryMatchCategory=0.0,queryMatchIngredients=0.7318133,queryMatchKeywords=0.0,queryMatchInstructions=0.83943343,queryMatchReviews=0.862623,queryMatchAuthorName=0.0,recency=0.053595044,rating=1.0,reviewCount=0.0013059092,keywordCount=0.125,ingredientCount=0.25,instructionCount=0.10280374,imageCount=0.006342495,originalScore=1.4636266"
532472,e79e6da2-4268-470d-9810-f3896db053d1,0,"queryMatchName=0.0,queryMatchDescription=0.0,queryMatchCategory=0.0,queryMatchIngredients=0.0,queryMatchKeywords=0.0,queryMatchInstructions=0.0,queryMatchReviews=1.5774395,queryMatchAuthorName=0.0,recency=0.18114214,rating=1.0,reviewCount=3.264773E-4,keywordCount=0.0625,ingredientCount=0.3409091,instructionCount=0.028037382,imageCount=0.0021141649,originalScore=0.7887198"
172752,a0d6f23b-3e4b-474d-83d2-f408fc8cb0a5,0,"queryMatchName=0.0,queryMatchDescription=0.0,queryMatchCategory=0.0,queryMatchIngredients=0.6693716,queryMatchKeywords=0.0,queryMatchInstructions=0.9739312,queryMatchReviews=0.8573328,queryMatchAuthorName=0.0,recency=0.06043039,rating=1.0,reviewCount=0.0058765914,keywordCount=0.09375,ingredientCount=0.29545456,instructionCount=0.06542056,imageCount=0.0084566595,originalScore=1.3387432"
489943,79bbe623-b0d7-4f4e-aab3-f60a4f6bd239,0,"queryMatchName=0.0,queryMatchDescription=1.1656199,queryMatchCategory=0.0,queryMatchIngredients=0.0,queryMatchKeywords=0.0,queryMatchInstructions=0.0,queryMatchReviews=1.0886478,queryMatchAuthorName=0.0,recency=0.0983536,rating=1.0,reviewCount=9.794319E-4,keywordCount=0.15625,ingredientCount=0.22727273,instructionCount=0.04672897,imageCount=0.0,originalScore=1.1656199"
415734,ab1258b7-2d8d-4786-bad6-ec5588710b7c,2,"queryMatchName=0.0,queryMatchDescription=0.0,queryMatchCategory=0.0,queryMatchIngredients=1.2125309,queryMatchKeywords=0.0,queryMatchInstructions=0.0,queryMatchReviews=0.0,queryMatchAuthorName=0.0,recency=0.07794609,rating=1.0,reviewCount=3.264773E-4,keywordCount=0.09375,ingredientCount=0.11363637,instructionCount=0.07476635,imageCount=0.0,originalScore=2.4250617"
51442,9f0698c9-73c8-42e0-aa82-cbc6635a3841,2,"queryMatchName=0.0,queryMatchDescription=1.3353423,queryMatchCategory=0.0,queryMatchIngredients=1.1255479,queryMatchKeywords=0.0,queryMatchInstructions=0.0,queryMatchReviews=0.0,queryMatchAuthorName=0.0,recency=0.05011884,rating=1.0,reviewCount=3.264773E-4,keywordCount=0.0625,ingredientCount=0.1590909,instructionCount=0.037383176,imageCount=0.0,originalScore=2.2510958"
146393,c8c16679-654f-408f-8bfc-456638fa8563,0,"queryMatchName=0.0,queryMatchDescription=0.0,queryMatchCategory=0.0,queryMatchIngredients=0.0,queryMatchKeywords=0.0,queryMatchInstructions=0.0,queryMatchReviews=1.4360836,queryMatchAuthorName=0.0,recency=0.05850935,rating=0.8,reviewCount=6.529546E-4,keywordCount=0.0625,ingredientCount=0.3409091,instructionCount=0.04672897,imageCount=0.0042283298,originalScore=0.7180418"
172749,96856d41-f9b7-4a0b-8ae8-b8abc556644f,0,"queryMatchName=0.0,queryMatchDescription=0.0,queryMatchCategory=0.0,queryMatchIngredients=0.0,queryMatchKeywords=0.0,queryMatchInstructions=0.0,queryMatchReviews=0.8245789,queryMatchAuthorName=0.0,recency=0.06043039,rating=1.0,reviewCount=0.0019588638,keywordCount=0.09375,ingredientCount=0.36363637,instructionCount=0.06542056,imageCount=0.0084566595,originalScore=0.41228944"
440725,b57dec74-5ee0-487e-b3f0-9e38bdf276af,0,"queryMatchName=0.0,queryMatchDescription=0.94207954,queryMatchCategory=0.0,queryMatchIngredients=0.0,queryMatchKeywords=0.0,queryMatchInstructions=0.0,queryMatchReviews=0.0,queryMatchAuthorName=0.0,recency=0.082031064,rating=1.0,reviewCount=0.0016323866,keywordCount=0.03125,ingredientCount=0.45454547,instructionCount=0.084112145,imageCount=0.0021141649,originalScore=0.94207954"
457015,83309cc5-a111-4d8c-859d-ed337c4203e0,2,"queryMatchName=0.0,queryMatchDescription=0.0,queryMatchCategory=0.0,queryMatchIngredients=1.0865741,queryMatchKeywords=0.0,queryMatchInstructions=0.0,queryMatchReviews=0.0,queryMatchAuthorName=0.0,recency=0.08601896,rating=1.0,reviewCount=3.264773E-4,keywordCount=0.09375,ingredientCount=0.09090909,instructionCount=0.018691588,imageCount=0.0021141649,originalScore=2.1731482"
163027,6791e539-51e5-4c2d-8ae9-4b52f4800f78,2,"queryMatchName=0.0,queryMatchDescription=0.0,queryMatchCategory=0.0,queryMatchIngredients=0.8745874,queryMatchKeywords=0.0,queryMatchInstructions=0.0,queryMatchReviews=0.0,queryMatchAuthorName=0.0,recency=0.059730686,rating=1.0,reviewCount=3.264773E-4,keywordCount=0.03125,ingredientCount=0.22727273,instructionCount=0.06542056,imageCount=0.0,originalScore=1.7491748"
173260,18dd1c6a-e03e-419c-95e4-247a775be575,0,"queryMatchName=0.0,queryMatchDescription=0.0,queryMatchCategory=0.0,queryMatchIngredients=0.0,queryMatchKeywords=0.0,queryMatchInstructions=0.0,queryMatchReviews=1.3067322,queryMatchAuthorName=0.0,recency=0.06045033,rating=1.0,reviewCount=6.529546E-4,keywordCount=0.15625,ingredientCount=0.11363637,instructionCount=0.028037382,imageCount=0.0,originalScore=0.6533661"
425831,77dd2594-89ee-48e0-8d3f-7c9e02cf712e,3,"queryMatchName=0.89397955,queryMatchDescription=1.4565315,queryMatchCategory=0.0,queryMatchIngredients=0.0,queryMatchKeywords=0.0,queryMatchInstructions=0.0,queryMatchReviews=0.0,queryMatchAuthorName=0.0,recency=0.0791248,rating=0.8,reviewCount=3.264773E-4,keywordCount=0.0625,ingredientCount=0.20454547,instructionCount=0.009345794,imageCount=0.0,originalScore=4.4698977"
310035,fa7212f8-dac2-4b72-b4c3-56e24a7206f6,0,"queryMatchName=0.0,queryMatchDescription=0.0,queryMatchCategory=0.0,queryMatchIngredients=0.0,queryMatchKeywords=0.0,queryMatchInstructions=0.0,queryMatchReviews=1.0886478,queryMatchAuthorName=0.0,recency=0.06875702,rating=0.9,reviewCount=6.529546E-4,keywordCount=0.09375,ingredientCount=0.29545456,instructionCount=0.04672897,imageCount=0.0042283298,originalScore=0.5443239"
232830,1596c429-34e2-43a1-8cd4-62b36b77591b,0,"queryMatchName=0.0,queryMatchDescription=0.0,queryMatchCategory=0.0,queryMatchIngredients=0.0,queryMatchKeywords=0.0,queryMatchInstructions=0.0,queryMatchReviews=1.0886478,queryMatchAuthorName=0.0,recency=0.06420133,rating=0.9,reviewCount=6.529546E-4,keywordCount=0.25,ingredientCount=0.11363637,instructionCount=0.009345794,imageCount=0.0021141649,originalScore=0.5443239"
457168,571831b2-85da-4526-932e-749e38e2141f,0,"queryMatchName=0.0,queryMatchDescription=0.0,queryMatchCategory=0.0,queryMatchIngredients=0.0,queryMatchKeywords=0.0,queryMatchInstructions=0.0,queryMatchReviews=1.0012027,queryMatchAuthorName=0.0,recency=0.08603916,rating=1.0,reviewCount=0.0019588638,keywordCount=0.1875,ingredientCount=0.1590909,instructionCount=0.018691588,imageCount=0.006342495,originalScore=0.50060135"
352805,bb2e1a8c-c500-4b4e-be8e-5e224a92c679,0,"queryMatchName=0.0,queryMatchDescription=0.0,queryMatchCategory=0.0,queryMatchIngredients=0.0,queryMatchKeywords=0.0,queryMatchInstructions=0.0,queryMatchReviews=1.36642,queryMatchAuthorName=0.0,recency=0.07178923,rating=0.9,reviewCount=6.529546E-4,keywordCount=0.15625,ingredientCount=0.09090909,instructionCount=0.037383176,imageCount=0.0,originalScore=0.68321"
107277,25ede482-34fc-4a75-b44b-d797705fdc57,0,"queryMatchName=0.0,queryMatchDescription=0.0,queryMatchCategory=0.0,queryMatchIngredients=0.0,queryMatchKeywords=0.0,queryMatchInstructions=0.0,queryMatchReviews=0.78974867,queryMatchAuthorName=0.0,recency=0.055554155,rating=1.0,reviewCount=0.0026118185,keywordCount=0.21875,ingredientCount=0.13636364,instructionCount=0.018691588,imageCount=0.0042283298,originalScore=0.39487433"
280063,76f7330f-9b1b-4594-9f5a-4dd20b115945,0,"queryMatchName=0.0,queryMatchDescription=0.0,queryMatchCategory=0.0,queryMatchIngredients=0.0,queryMatchKeywords=0.0,queryMatchInstructions=0.0,queryMatchReviews=1.13836,queryMatchAuthorName=0.0,recency=0.06688616,rating=0.9,reviewCount=6.529546E-4,keywordCount=0.03125,ingredientCount=0.25,instructionCount=0.09345794,imageCount=0.0,originalScore=0.56918"
423289,2dffbd9c-0135-4818-80da-630736f2b4f3,0,"queryMatchName=0.0,queryMatchDescription=0.0,queryMatchCategory=0.0,queryMatchIngredients=0.92621636,queryMatchKeywords=0.0,queryMatchInstructions=1.1677088,queryMatchReviews=0.0,queryMatchAuthorName=0.0,recency=0.07892021,rating=0.8,reviewCount=3.264773E-4,keywordCount=0.0625,ingredientCount=0.20454547,instructionCount=0.009345794,imageCount=0.0,originalScore=1.8524327"
211007,4fe6026a-a85e-4921-b6be-93f49cdf117c,0,"queryMatchName=0.0,queryMatchDescription=0.0,queryMatchCategory=0.0,queryMatchIngredients=0.0,queryMatchKeywords=0.0,queryMatchInstructions=0.0,queryMatchReviews=0.72822785,queryMatchAuthorName=0.0,recency=0.06294356,rating=1.0,reviewCount=0.0019588638,keywordCount=0.125,ingredientCount=0.25,instructionCount=0.07476635,imageCount=0.014799154,originalScore=0.36411393"
170871,e9735c13-29c5-4104-a000-bcc9511bd30a,0,"queryMatchName=0.0,queryMatchDescription=0.0,queryMatchCategory=0.0,queryMatchIngredients=0.0,queryMatchKeywords=0.0,queryMatchInstructions=0.0,queryMatchReviews=0.72822785,queryMatchAuthorName=0.0,recency=0.0602812,rating=1.0,reviewCount=0.0022853413,keywordCount=0.125,ingredientCount=0.22727273,instructionCount=0.028037382,imageCount=0.0084566595,originalScore=0.36411393"
